,id,top_words
76,eA9Tpf5Uuxs,"['protest', 'loot', 'econom', 'polic', 'payrol', 'polit', 'trump', 'militari', 'riot', 'cynic']"
77,Mcle87Uvh8Y,"['subscript', 'kraft', 'porsch', 'cop', 'car', 'firearm', 'polic', 'drift', 'gun', 'montana']"
78,TxEZcP5hmP8,"['allig', 'cop', 'pandem', 'pigeon', 'spanish', 'iphon', 'mask', 'plagu', 'samsung', 'tiger']"
79,vrCNpDigVxA,"['reindeer', 'moos', 'herd', 'nomad', 'arrow', 'wolverin', 'villag', 'recurv', 'siberia', 'bear']"
80,ICrqTmO3Eo4,"['glove', 'fight', 'headgear', 'foam', 'coach', 'toni', 'fighter', 'athlet', 'spar', 'equip']"
81,TvHqvYesr9M,"['cult', 'argo', 'austin', 'acid', 'manson', 'surfer', 'unabomb', 'cutout', 'comedi', 'vitamin']"
82,vzx6h2sAGTU,"['dave', 'plant-bas', 'kev', 'all-star', 'shaq', 'audibl', 'chri', 'pivot', 'fuel', 'chappel']"
83,Wf93nfm2U2o,"['vaccin', 'trump', 'biden', 'berni', 'pandem', 'regul', 'uv', 'twitter', 'suprem', 'pakman']"
84,4-7O3fOXXKo,"['soil', 'farm', 'immun', 'food', 'chicken', 'compost', 'landfil', 'farmer', 'beef', 'facil']"
85,At4kjSXFr-U,"['skate', 'skater', 'skateboard', 'vert', 'ramp', 'surf', 'diego', 'park', 'trick', 'pool']"
86,KluBn073YjY,"['flex', 'vitamin', 'ventil', 'trump', 'inspector', 'spotifi', 'jock', 'flu', 'wwe', 'defici']"
87,2LQFV0ct3X8,"['vaccin', 'freelanc', 'pandem', 'cult', 'ick', 'viru', 'b5', 'beach', 'ideolog', 'bridget']"
88,4_ZJ8YDOX6g,"['vitamin', 'sauna', 'antibodi', 'studi', 'viru', 'immun', 'defici', 'c', 'intraven', 'shown']"
89,EToUmoEYGuU,"['bread', 'manti', 'quarantin', 'pasta', 'hornet', 'immun', 'collarbon', 'mask', 'cruis', 'hummingbird']"
90,KdDPhoyypcg,"['corona', 'immun', 'lazi', 'hookworm', 'pre-exist', 'religion', 'doctor', 'migrain', 'sauna', 'asymptomat']"
91,kyX2HaJSIco,"['rattlesnak', 'hornet', 'fight', 'bike', 'colbi', 'wasp', 'dude', 'kovat', 'newsom', 'mask']"
92,wKaySfPomOI,"['python', 'bat', 'judo', 'sebastian', 'gun', 'kovat', 'pasta', 'brinkley', 'rat', 'martial']"
93,RcYjXbSJBN8,"['neural', 'cova', 'iter', 'brain', 'archangel', 'covert', 'alloc', 'interfac', 'tesla', 'flu']"
94,EATOIfG2ISk,"['cook', 'steak', 'chef', 'dry-ag', 'meat', 'crust', 'restaur', 'grass-f', 'steel', 'flavor']"
95,2cOnu-HMmUk,"['hulk', 'allig', 'thor', 'goat', 'car', 'florida', 'gun', 'biker', 'movi', 'georgia']"
96,Ra4522ikFoU,"['downrang', 'seal', 'novel', 'tortur', 'book', 'cruiser', 'write', 'outlin', 'schuster', 'infecti']"
97,sqsBfhCbMjw,"['scientolog', 'pansexu', 'quarantin', 'jaguar', 'opioid', 'candl', 'lawrenc', 'cia', 'hubbard', 'braveri']"
98,Cs_mDpIkUOY,"['trump', 'alien', 'dogon', 'biden', 'cnn', 'china', 'mar', 'propuls', 'decoy', 'cuomo']"
99,4YqZ08GxV1c,"['cia', 'mud', 'clanci', 'quicksand', 'lsd', 'snitch', 'mous', 'poodl', 'rat', 'pendleton']"
