,id,data
64,NpOxxzOhZyg,"{0: 0.5643006777231381, 1: 1.1069385676866717e-05, 2: 1.6604078515078044e-05, 3: 1.10693856766447e-05, 4: 0.00011622854960628354, 5: 0.4220258636196358, 6: 0.009815777748874585}"
65,VAoo7oXtyy4,"{0: 0.6942479998289273, 1: 0.002691333661222151, 2: 0.0012494386690577134, 3: 0.0020895257937297313, 4: 0.24410793439377787, 5: 0.04026002987655329, 6: 0.00308541089424994, 7: 0.003067081720620671, 8: 0.0026668947630495987}"
66,MNvjRzcfcx0,"{0: 0.00022807489830102892, 1: 0.4351108219669788, 2: 0.5329250418760475, 3: 0.0163765254845655, 4: 0.008812664513041482, 5: 0.0008038705431921353}"
67,FtNW3I1FZ5o,"{0: 0.7191068009630872, 1: 0.003202172119795181, 2: 0.0002952573152282295, 3: 0.00296474871167371, 4: 0.2409695397942955, 5: 0.014592407929941986, 6: 0.003613097249236752, 7: 0.01038575216040083}"
68,cP0D2_jhqPU,"{0: 0.00045444217223358324, 1: 0.0, 2: 0.7819636951197961, 3: 0.0013279810144158442, 4: 0.21283041732939384}"
69,VmgYeeE31_8,"{0: 0.6483231482902602, 1: 0.0005418797903897297, 2: 0.31232635571745937, 5: 0.00638353186597701, 6: 0.0060640420473659085, 7: 0.0063302835628753495, 4: 0.0014408364368742044, 3: 0.01281404752880877}"
70,SXOUCRLW2UI,"{2: 0.0028076649918027086, 3: 0.0, 4: 0.0, 5: 7.301256479852307e-05, 6: 0.3005130792053574, 7: 0.6932144777278479, 1: 0.0}"
71,4me69rP0mPM,"{0: 0.31712341435103963, 1: 0.003670350835794314, 2: 9.566509563321447e-05, 3: 2.551069216878639e-05, 4: 0.00422520839046651, 5: 0.6454237007085594, 6: 0.018071136565112833, 7: 0.006651912983029085}"
72,fgxaD7u28A4,"{1: 0.5092338268462067, 2: 0.0008198630158834498, 3: 0.45602886428236244, 4: 0.0059655402323053825, 0: 0.00026478066271727607, 5: 0.004427898311464812, 6: 0.014696921845042787, 7: 0.002239470183464265}"
73,U_yasKdeo8c,"{0: 0.24584590691973304, 1: 0.0001291712701107297, 2: 0.6727019881382285, 3: 0.020711376416074297, 4: 0.035618290651848156, 5: 0.017963051520098527}"
